LOCATION_CODE,START_DATE,EF_EFFORT
20I3.1R01,6/18/2020,15
20I3.1R02,6/18/2020,15
20I3.1R08,6/18/2020,15
20I3.1RAP,6/18/2020,15
20I3.2R01,8/26/2020,15
20I3.2R02,8/26/2020,15
20I3.2R03,8/26/2020,15
20I3.2RAP,8/26/2020,15
20I3.3R01,9/23/2020,15
20I3.3R02,9/23/2020,15
20I3.3R03,9/23/2020,15
20I3.3RAP,9/23/2020,18
20I4.1R01,7/1/2020,15
20I4.1R02,7/1/2020,15
20I4.1R03,7/1/2020,15
20I4.1R04,7/1/2020,15
20I4.1R05,7/7/2020,15
20I4.1R06,7/1/2020,15
20I4.1WAU,7/2/2020,15
20I4.2R01,8/21/2020,15
20I4.2R02,8/21/2020,15
20I4.2R03,8/21/2020,15
20I4.2R05,9/2/2020,15
20I4.2R06,9/2/2020,15
20I4.2R07,9/22/2020,15
20I4.2WAU,8/21/2020,15
20I4.3R01,10/14/2020,15
20I4.3R02,9/18/2020,15
20I4.3R03,9/18/2020,15
20I4.3R04,10/14/2020,15
20I4.3R05,10/14/2020,15
20I4.3R06,9/18/2020,15
20I4.3WAU,9/18/2020,15
20I5.1R03,6/16/2020,15
20I5.1R08,6/16/2020,15
20I5.1R09,6/16/2020,15
20I5.1UBU,6/16/2020,15
20I5.2R01,8/7/2020,15
20I5.2R02,8/7/2020,15
20I5.2R07,8/7/2020,15
20I5.2UBU,8/7/2020,15
20I5.3R01,10/19/2020,15
20I5.3R03,10/19/2020,15
20I5.3R05,10/19/2020,15
20I5.3UBU,10/19/2020,15
20I6.1CHI,7/16/2020,15
20I6.1CLA,6/29/2020,15
20I6.1HEN,7/14/2020,15
20I6.1HNR,6/23/2020,15
20I6.1LPE,6/24/2020,15
20I6.1R01,6/29/2020,15
20I6.1R02,6/29/2020,15
20I6.1R03,6/29/2020,15
20I6.1R04,7/14/2020,15
20I6.1R06,7/16/2020,15
20I6.1R08,6/29/2020,15
20I6.1R09,7/16/2020,15
20I6.1R10,6/23/2020,15
20I6.1R11,7/16/2020,15
20I6.1R12,6/23/2020,15
20I6.1R13,7/14/2020,15
20I6.1R14,6/24/2020,15
20I6.1R15,6/23/2020,15
20I6.1R18,6/24/2020,15
20I6.1R21,6/24/2020,15
20I6.1USI,7/14/2020,15
20I6.2CHI,9/9/2020,15
20I6.2CLA,8/6/2020,15
20I6.2HEN,8/6/2020,15
20I6.2HNR,9/3/2020,15
20I6.2LPE,9/11/2020,15
20I6.2R01,9/9/2020,15
20I6.2R02,8/6/2020,15
20I6.2R03,9/3/2020,15
20I6.2R04,9/9/2020,15
20I6.2R05,9/3/2020,15
20I6.2R07,9/3/2020,15
20I6.2R09,8/20/2020,15
20I6.2R10,9/11/2020,15
20I6.2R11,8/6/2020,15
20I6.2R12,9/11/2020,15
20I6.2R13,9/11/2020,15
20I6.2R14,8/20/2020,15
20I6.2R15,8/20/2020,15
20I6.2R16,9/9/2020,15
20I6.2R42,8/20/2020,15
20I6.2USI,8/20/2020,15
20I6.3CHI,9/25/2020,15
20I6.3CLA,10/8/2020,15
20I6.3HEN,10/2/2020,15
20I6.3HNR,10/13/2020,15
20I6.3LPE,10/20/2020,15
20I6.3R02,10/20/2020,15
20I6.3R03,9/16/2020,15
20I6.3R04,9/16/2020,15
20I6.3R06,9/25/2020,15
20I6.3R07,10/2/2020,15
20I6.3R08,10/8/2020,15
20I6.3R09,10/8/2020,15
20I6.3R10,9/16/2020,15
20I6.3R11,9/16/2020,15
20I6.3R13,10/8/2020,15
20I6.3R14,10/13/2020,15
20I6.3R15,10/13/2020,15
20I6.3R30,9/25/2020,15
20I6.3R32,10/20/2020,15
20I6.3R44,9/25/2020,15
20I6.3USI,10/2/2020,15
20I7.1LBA,7/6/2020,15
20I7.1PEK,6/27/2020,15
20I7.1SUG,7/6/2020,15
20I7.2LBA,8/25/2020,15
20I7.2PEK,9/9/2020,15
20I7.2SUG,8/25/2020,15
20I7.3LBA,10/9/2020,15
20I7.3PEK,10/20/2020,15
20I7.3SUG,10/9/2020,15
20I8.1BBL,7/23/2020,15
20I8.1CWI,7/23/2020,15
20I8.1DAR,7/23/2020,15
20I8.1MOR,7/23/2020,15
20I8.2BBL,8/28/2020,15
20I8.2CWI,8/28/2020,15
20I8.2DAR,8/28/2020,15
20I8.2MOR,8/28/2020,15
20I8.3BBL,10/30/2020,15
